,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
182,2021-08-19 14:55:32.238581,2021-08-19 14:55:33.148881,0.005857000000000223,2.09451,2.088653,2.091359,2.093327,2.09451
183,2021-08-19 14:55:27.298656,2021-08-19 14:55:34.059181,0,0,0,0,0,0
184,2021-08-19 14:55:37.728782,2021-08-19 14:55:38.639082,0.005843000000000043,3.669601,3.663758,3.666477,3.667365,3.669601
185,2021-08-19 14:55:40.554145,2021-08-19 14:55:41.464445,0.005857000000000001,1.915063,1.909206,1.911912,1.91388,1.915063
186,2021-08-19 14:55:35.835819,2021-08-19 14:55:42.374745,0,0,0,0,0,0
187,2021-08-19 14:55:46.408391,2021-08-19 14:55:47.318691,0.005843000000000487,4.033646,4.027803,4.030522,4.03141,4.033646
188,2021-08-19 14:55:49.552095,2021-08-19 14:55:50.462395,0.005857000000000223,2.233404,2.227547,2.230253,2.232221,2.233404
189,2021-08-19 14:55:44.732659,2021-08-19 14:55:51.372695,0,0,0,0,0,0
190,2021-08-19 14:55:55.129908,2021-08-19 14:55:56.040208,0.005843000000000043,3.757213,3.75137,3.754089,3.754977,3.757213
191,2021-08-19 14:55:58.456304,2021-08-19 14:55:59.366604,0.005857000000000223,2.416096,2.410239,2.412945,2.414913,2.416096
192,2021-08-19 14:55:53.531358,2021-08-19 14:56:00.276904,0,0,0,0,0,0
193,2021-08-19 14:56:04.133481,2021-08-19 14:56:05.043781,0.005843000000000043,3.856577,3.850734,3.853453,3.854341,3.856577
194,2021-08-19 14:56:07.268502,2021-08-19 14:56:08.178802,0.005857000000000223,2.224721,2.218864,2.22157,2.223538,2.224721
195,2021-08-19 14:56:02.230623,2021-08-19 14:56:09.089102,0,0,0,0,0,0
196,2021-08-19 14:56:12.864535,2021-08-19 14:56:13.774835,0.005843000000000043,3.775433,3.76959,3.772309,3.773197,3.775433
197,2021-08-19 14:56:16.186743,2021-08-19 14:56:17.097043,0.005856999999999779,2.411908,2.406051,2.408757,2.410725,2.411908
198,2021-08-19 14:56:10.999409,2021-08-19 14:56:18.007343,0,0,0,0,0,0
199,2021-08-19 14:56:21.594322,2021-08-19 14:56:22.504622,0.005843000000000043,3.586979,3.581136,3.583855,3.584743,3.586979
200,2021-08-19 14:56:24.959357,2021-08-19 14:56:25.869657,0.005856999999999779,2.454735,2.448878,2.451584,2.453552,2.454735
201,2021-08-19 14:56:19.525095,2021-08-19 14:56:26.779957,0,0,0,0,0,0
202,2021-08-19 14:56:30.216550,2021-08-19 14:56:31.126850,0.0058429999999995985,3.436593,3.43075,3.433469,3.434357,3.436593
203,2021-08-19 14:56:33.725162,2021-08-19 14:56:34.635462,0.005856999999999779,2.598312,2.592455,2.595161,2.597129,2.598312
204,2021-08-19 14:56:28.242768,2021-08-19 14:56:35.545762,0,0,0,0,0,0
205,2021-08-19 14:56:39.025411,2021-08-19 14:56:39.935711,0.005843000000000043,3.479649,3.473806,3.476525,3.477413,3.479649
206,2021-08-19 14:56:42.590796,2021-08-19 14:56:43.501096,0.005857000000000223,2.655085,2.649228,2.651934,2.653902,2.655085
207,2021-08-19 14:56:37.028467,2021-08-19 14:56:44.411396,0,0,0,0,0,0
